boro,ad,candidate,votes
New York,AD 66,Scott M. Stringer,2536
New York,AD 66,Shaun Donovan,868
New York,AD 66,WRITE-IN,26
New York,AD 67,Aaron S. Foldenauer,72
New York,AD 67,Andrew Yang,4766
New York,AD 67,Art Chang,238
New York,AD 67,Dianne Morales,694
New York,AD 67,Eric L. Adams,6626
New York,AD 67,Isaac Wright Jr.,22
New York,AD 67,Joycelyn Taylor,48
New York,AD 67,Kathryn A. Garcia,22278
New York,AD 67,Maya D. Wiley,9008
New York,AD 67,Paperboy Love Prince,138
New York,AD 67,Raymond J. McGuire,1974
New York,AD 67,Scott M. Stringer,4192
New York,AD 67,Shaun Donovan,1100
New York,AD 67,WRITE-IN,38
New York,AD 68,Aaron S. Foldenauer,360
New York,AD 68,Andrew Yang,2406
New York,AD 68,Art Chang,174
New York,AD 68,Dianne Morales,1306
New York,AD 68,Eric L. Adams,9224
New York,AD 68,Isaac Wright Jr.,120
New York,AD 68,Joycelyn Taylor,96
New York,AD 68,Kathryn A. Garcia,4364
New York,AD 68,Maya D. Wiley,6338
New York,AD 68,Paperboy Love Prince,94
New York,AD 68,Raymond J. McGuire,980
New York,AD 68,Scott M. Stringer,1478
New York,AD 68,Shaun Donovan,694
New York,AD 68,WRITE-IN,28
New York,AD 69,Aaron S. Foldenauer,180
New York,AD 69,Andrew Yang,3208
New York,AD 69,Art Chang,196
New York,AD 69,Dianne Morales,984
New York,AD 69,Eric L. Adams,6750
New York,AD 69,Isaac Wright Jr.,56
New York,AD 69,Joycelyn Taylor,70
New York,AD 69,Kathryn A. Garcia,18704
New York,AD 69,Maya D. Wiley,10912
New York,AD 69,Paperboy Love Prince,100
New York,AD 69,Raymond J. McGuire,1436
New York,AD 69,Scott M. Stringer,4442
New York,AD 69,Shaun Donovan,1058
New York,AD 69,WRITE-IN,34
New York,AD 70,Aaron S. Foldenauer,296
New York,AD 70,Andrew Yang,1854
New York,AD 70,Art Chang,236
New York,AD 70,Dianne Morales,1200
New York,AD 70,Eric L. Adams,14334
New York,AD 70,Isaac Wright Jr.,194
New York,AD 70,Joycelyn Taylor,132
New York,AD 70,Kathryn A. Garcia,5318
New York,AD 70,Maya D. Wiley,12388
New York,AD 70,Paperboy Love Prince,138
New York,AD 70,Raymond J. McGuire,1384
New York,AD 70,Scott M. Stringer,1730
New York,AD 70,Shaun Donovan,752
New York,AD 70,WRITE-IN,38
New York,AD 71,Aaron S. Foldenauer,442
New York,AD 71,Andrew Yang,2104
New York,AD 71,Art Chang,304
New York,AD 71,Dianne Morales,1492
New York,AD 71,Eric L. Adams,11386
New York,AD 71,Isaac Wright Jr.,150
New York,AD 71,Joycelyn Taylor,136
New York,AD 71,Kathryn A. Garcia,6590
New York,AD 71,Maya D. Wiley,11006
New York,AD 71,Paperboy Love Prince,146
New York,AD 71,Raymond J. McGuire,806
New York,AD 71,Scott M. Stringer,2124
New York,AD 71,Shaun Donovan,734
New York,AD 71,WRITE-IN,22
New York,AD 72,Aaron S. Foldenauer,564
New York,AD 72,Andrew Yang,1900
New York,AD 72,Art Chang,242
New York,AD 72,Dianne Morales,1488
New York,AD 72,Eric L. Adams,8032
New York,AD 72,Isaac Wright Jr.,80
New York,AD 72,Joycelyn Taylor,106
New York,AD 72,Kathryn A. Garcia,4094
New York,AD 72,Maya D. Wiley,6392
New York,AD 72,Paperboy Love Prince,124
New York,AD 72,Raymond J. McGuire,312
New York,AD 72,Scott M. Stringer,1676
New York,AD 72,Shaun Donovan,398
New York,AD 72,WRITE-IN,48
New York,AD 73,Aaron S. Foldenauer,36
New York,AD 73,Andrew Yang,3814
New York,AD 73,Art Chang,120
New York,AD 73,Dianne Morales,292
New York,AD 73,Eric L. Adams,5540
New York,AD 73,Isaac Wright Jr.,12
New York,AD 73,Joycelyn Taylor,26
New York,AD 73,Kathryn A. Garcia,14564
New York,AD 73,Maya D. Wiley,4404
New York,AD 73,Paperboy Love Prince,38
New York,AD 73,Raymond J. McGuire,2870
New York,AD 73,Scott M. Stringer,1796
New York,AD 73,Shaun Donovan,1044
New York,AD 73,WRITE-IN,30
New York,AD 74,Aaron S. Foldenauer,130
New York,AD 74,Andrew Yang,4090
New York,AD 74,Art Chang,190
New York,AD 74,Dianne Morales,930
New York,AD 74,Eric L. Adams,5142
New York,AD 74,Isaac Wright Jr.,36
New York,AD 74,Joycelyn Taylor,64
New York,AD 74,Kathryn A. Garcia,12156
New York,AD 74,Maya D. Wiley,8530
New York,AD 74,Paperboy Love Prince,126
New York,AD 74,Raymond J. McGuire,870
New York,AD 74,Scott M. Stringer,2466
New York,AD 74,Shaun Donovan,922
New York,AD 74,WRITE-IN,54
New York,AD 75,Aaron S. Foldenauer,78
New York,AD 75,Andrew Yang,4470
New York,AD 75,Art Chang,226
New York,AD 75,Dianne Morales,614
New York,AD 75,Eric L. Adams,5052
New York,AD 75,Isaac Wright Jr.,28
New York,AD 75,Joycelyn Taylor,40
New York,AD 75,Kathryn A. Garcia,14888
New York,AD 75,Maya D. Wiley,8606
New York,AD 75,Paperboy Love Prince,108
New York,AD 75,Raymond J. McGuire,1348
New York,AD 75,Scott M. Stringer,2930
New York,AD 75,Shaun Donovan,1094
New York,AD 75,WRITE-IN,68
New York,AD 76,Aaron S. Foldenauer,84
New York,AD 76,Andrew Yang,3982
New York,AD 76,Art Chang,150
New York,AD 76,Dianne Morales,460
New York,AD 76,Eric L. Adams,5260
New York,AD 76,Isaac Wright Jr.,22
New York,AD 76,Joycelyn Taylor,52
New York,AD 76,Kathryn A. Garcia,15116
New York,AD 76,Maya D. Wiley,6704
New York,AD 76,Paperboy Love Prince,122
New York,AD 76,Raymond J. McGuire,1740
New York,AD 76,Scott M. Stringer,2200
New York,AD 76,Shaun Donovan,1074
New York,AD 76,WRITE-IN,44
Queens,AD 23,Aaron S. Foldenauer,160
Queens,AD 23,Andrew Yang,2580
Queens,AD 23,Art Chang,122
Queens,AD 23,Dianne Morales,458
Queens,AD 23,Eric L. Adams,7896
Queens,AD 23,Isaac Wright Jr.,46
Queens,AD 23,Joycelyn Taylor,56
Queens,AD 23,Kathryn A. Garcia,3364
Queens,AD 23,Maya D. Wiley,2048
Queens,AD 23,Paperboy Love Prince,74
Queens,AD 23,Raymond J. McGuire,528
Queens,AD 23,Scott M. Stringer,1076
Queens,AD 23,Shaun Donovan,544
Queens,AD 23,WRITE-IN,84
Queens,AD 24,Aaron S. Foldenauer,378
Queens,AD 24,Andrew Yang,3394
Queens,AD 24,Art Chang,218
Queens,AD 24,Dianne Morales,628
Queens,AD 24,Eric L. Adams,5626
Queens,AD 24,Isaac Wright Jr.,54
Queens,AD 24,Joycelyn Taylor,82
Queens,AD 24,Kathryn A. Garcia,2912
Queens,AD 24,Maya D. Wiley,2786
Queens,AD 24,Paperboy Love Prince,50
Queens,AD 24,Raymond J. McGuire,420
Queens,AD 24,Scott M. Stringer,1396
Queens,AD 24,Shaun Donovan,674
Queens,AD 24,WRITE-IN,32
Queens,AD 25,Aaron S. Foldenauer,116
Queens,AD 25,Andrew Yang,6326
Queens,AD 25,Art Chang,306
Queens,AD 25,Dianne Morales,326
Queens,AD 25,Eric L. Adams,3344
Queens,AD 25,Isaac Wright Jr.,18
Queens,AD 25,Joycelyn Taylor,38
Queens,AD 25,Kathryn A. Garcia,2220
Queens,AD 25,Maya D. Wiley,1730
Queens,AD 25,Paperboy Love Prince,28
Queens,AD 25,Raymond J. McGuire,232
Queens,AD 25,Scott M. Stringer,892
Queens,AD 25,Shaun Donovan,392
Queens,AD 25,WRITE-IN,52
Queens,AD 26,Aaron S. Foldenauer,88
Queens,AD 26,Andrew Yang,5670
Queens,AD 26,Art Chang,448
Queens,AD 26,Dianne Morales,290
Queens,AD 26,Eric L. Adams,3466
Queens,AD 26,Isaac Wright Jr.,20
Queens,AD 26,Joycelyn Taylor,32
Queens,AD 26,Kathryn A. Garcia,4788
Queens,AD 26,Maya D. Wiley,2064
Queens,AD 26,Paperboy Love Prince,80
Queens,AD 26,Raymond J. McGuire,466
Queens,AD 26,Scott M. Stringer,1878
Queens,AD 26,Shaun Donovan,688
Queens,AD 26,WRITE-IN,56
Queens,AD 27,Aaron S. Foldenauer,186
Queens,AD 27,Andrew Yang,4790
Queens,AD 27,Art Chang,184
Queens,AD 27,Dianne Morales,406
Queens,AD 27,Eric L. Adams,5304
Queens,AD 27,Isaac Wright Jr.,16
Queens,AD 27,Joycelyn Taylor,28
Queens,AD 27,Kathryn A. Garcia,3020
Queens,AD 27,Maya D. Wiley,2416
Queens,AD 27,Paperboy Love Prince,56
Queens,AD 27,Raymond J. McGuire,346
Queens,AD 27,Scott M. Stringer,1306
Queens,AD 27,Shaun Donovan,530
Queens,AD 27,WRITE-IN,44
Queens,AD 28,Aaron S. Foldenauer,142
Queens,AD 28,Andrew Yang,4796
Queens,AD 28,Art Chang,164
Queens,AD 28,Dianne Morales,496
Queens,AD 28,Eric L. Adams,4376
Queens,AD 28,Isaac Wright Jr.,30
Queens,AD 28,Joycelyn Taylor,40
Queens,AD 28,Kathryn A. Garcia,6580
Queens,AD 28,Maya D. Wiley,3994
Queens,AD 28,Paperboy Love Prince,74
Queens,AD 28,Raymond J. McGuire,454
Queens,AD 28,Scott M. Stringer,1694
Queens,AD 28,Shaun Donovan,644
Queens,AD 28,WRITE-IN,58
Queens,AD 29,Aaron S. Foldenauer,252
Queens,AD 29,Andrew Yang,1356
Queens,AD 29,Art Chang,94
Queens,AD 29,Dianne Morales,468
Queens,AD 29,Eric L. Adams,17060
Queens,AD 29,Isaac Wright Jr.,88
Queens,AD 29,Joycelyn Taylor,78
Queens,AD 29,Kathryn A. Garcia,830
Queens,AD 29,Maya D. Wiley,4782
Queens,AD 29,Paperboy Love Prince,32
Queens,AD 29,Raymond J. McGuire,848
Queens,AD 29,Scott M. Stringer,842
Queens,AD 29,Shaun Donovan,674
Queens,AD 29,WRITE-IN,12
Queens,AD 30,Aaron S. Foldenauer,234
Queens,AD 30,Andrew Yang,3742
Queens,AD 30,Art Chang,286
Queens,AD 30,Dianne Morales,684
Queens,AD 30,Eric L. Adams,3532
Queens,AD 30,Isaac Wright Jr.,32
Queens,AD 30,Joycelyn Taylor,62
Queens,AD 30,Kathryn A. Garcia,4008
Queens,AD 30,Maya D. Wiley,4038
Queens,AD 30,Paperboy Love Prince,90
Queens,AD 30,Raymond J. McGuire,360
Queens,AD 30,Scott M. Stringer,1044
Queens,AD 30,Shaun Donovan,670
Queens,AD 30,WRITE-IN,74
Queens,AD 31,Aaron S. Foldenauer,120
Queens,AD 31,Andrew Yang,1278
Queens,AD 31,Art Chang,64
Queens,AD 31,Dianne Morales,284
Queens,AD 31,Eric L. Adams,8138
Queens,AD 31,Isaac Wright Jr.,58
Queens,AD 31,Joycelyn Taylor,40
Queens,AD 31,Kathryn A. Garcia,670
Queens,AD 31,Maya D. Wiley,2282
Queens,AD 31,Paperboy Love Prince,38
Queens,AD 31,Raymond J. McGuire,436
Queens,AD 31,Scott M. Stringer,460
Queens,AD 31,Shaun Donovan,480
Queens,AD 31,WRITE-IN,28
Queens,AD 32,Aaron S. Foldenauer,252
Queens,AD 32,Andrew Yang,1080
Queens,AD 32,Art Chang,70
Queens,AD 32,Dianne Morales,320
Queens,AD 32,Eric L. Adams,14908
Queens,AD 32,Isaac Wright Jr.,124
Queens,AD 32,Joycelyn Taylor,68
Queens,AD 32,Kathryn A. Garcia,592
Queens,AD 32,Maya D. Wiley,3392
Queens,AD 32,Paperboy Love Prince,26
Queens,AD 32,Raymond J. McGuire,728
Queens,AD 32,Scott M. Stringer,728
Queens,AD 32,Shaun Donovan,596
Queens,AD 32,WRITE-IN,24
Queens,AD 33,Aaron S. Foldenauer,284
Queens,AD 33,Andrew Yang,2046
Queens,AD 33,Art Chang,114
Queens,AD 33,Dianne Morales,444
Queens,AD 33,Eric L. Adams,16426
Queens,AD 33,Isaac Wright Jr.,106
Queens,AD 33,Joycelyn Taylor,98
Queens,AD 33,Kathryn A. Garcia,1466
Queens,AD 33,Maya D. Wiley,4462
Queens,AD 33,Paperboy Love Prince,56
Queens,AD 33,Raymond J. McGuire,724
Queens,AD 33,Scott M. Stringer,1162
Queens,AD 33,Shaun Donovan,738
Queens,AD 33,WRITE-IN,30
Queens,AD 34,Aaron S. Foldenauer,322
Queens,AD 34,Andrew Yang,2852
Queens,AD 34,Art Chang,264
Queens,AD 34,Dianne Morales,930
Queens,AD 34,Eric L. Adams,3406
Queens,AD 34,Isaac Wright Jr.,32
Queens,AD 34,Joycelyn Taylor,50
Queens,AD 34,Kathryn A. Garcia,3134
Queens,AD 34,Maya D. Wiley,4104
Queens,AD 34,Paperboy Love Prince,74
Queens,AD 34,Raymond J. McGuire,232
Queens,AD 34,Scott M. Stringer,1000
Queens,AD 34,Shaun Donovan,520
Queens,AD 34,WRITE-IN,36
Queens,AD 35,Aaron S. Foldenauer,196
Queens,AD 35,Andrew Yang,2024
Queens,AD 35,Art Chang,120
Queens,AD 35,Dianne Morales,440
Queens,AD 35,Eric L. Adams,4136
Queens,AD 35,Isaac Wright Jr.,38
Queens,AD 35,Joycelyn Taylor,44
Queens,AD 35,Kathryn A. Garcia,1074
Queens,AD 35,Maya D. Wiley,1768
Queens,AD 35,Paperboy Love Prince,32
Queens,AD 35,Raymond J. McGuire,194
Queens,AD 35,Scott M. Stringer,496
Queens,AD 35,Shaun Donovan,336
Queens,AD 35,WRITE-IN,38
Queens,AD 36,Aaron S. Foldenauer,202
Queens,AD 36,Andrew Yang,2718
Queens,AD 36,Art Chang,404
Queens,AD 36,Dianne Morales,980
Queens,AD 36,Eric L. Adams,2856
Queens,AD 36,Isaac Wright Jr.,30
Queens,AD 36,Joycelyn Taylor,56
Queens,AD 36,Kathryn A. Garcia,6078
Queens,AD 36,Maya D. Wiley,10070
Queens,AD 36,Paperboy Love Prince,168
Queens,AD 36,Raymond J. McGuire,324
Queens,AD 36,Scott M. Stringer,1322
Queens,AD 36,Shaun Donovan,650
Queens,AD 36,WRITE-IN,52
Queens,AD 37,Aaron S. Foldenauer,238
Queens,AD 37,Andrew Yang,3234
Queens,AD 37,Art Chang,312
Queens,AD 37,Dianne Morales,1030
Queens,AD 37,Eric L. Adams,4842
Queens,AD 37,Isaac Wright Jr.,60
Queens,AD 37,Joycelyn Taylor,108
Queens,AD 37,Kathryn A. Garcia,5462
Queens,AD 37,Maya D. Wiley,8170
Queens,AD 37,Paperboy Love Prince,226
Queens,AD 37,Raymond J. McGuire,450
Queens,AD 37,Scott M. Stringer,1258
Queens,AD 37,Shaun Donovan,570
Queens,AD 37,WRITE-IN,60
Queens,AD 38,Aaron S. Foldenauer,238
Queens,AD 38,Andrew Yang,2016
Queens,AD 38,Art Chang,170
Queens,AD 38,Dianne Morales,686
Queens,AD 38,Eric L. Adams,3172
Queens,AD 38,Isaac Wright Jr.,14
Queens,AD 38,Joycelyn Taylor,40
Queens,AD 38,Kathryn A. Garcia,1788
Queens,AD 38,Maya D. Wiley,2848
Queens,AD 38,Paperboy Love Prince,162
Queens,AD 38,Raymond J. McGuire,188
Queens,AD 38,Scott M. Stringer,670
Queens,AD 38,Shaun Donovan,348
Queens,AD 38,WRITE-IN,30
Queens,AD 39,Aaron S. Foldenauer,244
Queens,AD 39,Andrew Yang,2082
Queens,AD 39,Art Chang,228
Queens,AD 39,Dianne Morales,726
Queens,AD 39,Eric L. Adams,2000
Queens,AD 39,Isaac Wright Jr.,26
Queens,AD 39,Joycelyn Taylor,38
Queens,AD 39,Kathryn A. Garcia,2052
Queens,AD 39,Maya D. Wiley,2422
Queens,AD 39,Paperboy Love Prince,44
Queens,AD 39,Raymond J. McGuire,148
Queens,AD 39,Scott M. Stringer,568
Queens,AD 39,Shaun Donovan,302
Queens,AD 39,WRITE-IN,24
Queens,AD 40,Aaron S. Foldenauer,200
Queens,AD 40,Andrew Yang,6012
Queens,AD 40,Art Chang,520
Queens,AD 40,Dianne Morales,320
Queens,AD 40,Eric L. Adams,2340
Queens,AD 40,Isaac Wright Jr.,16
Queens,AD 40,Joycelyn Taylor,54
Queens,AD 40,Kathryn A. Garcia,1388
Queens,AD 40,Maya D. Wiley,1256
Queens,AD 40,Paperboy Love Prince,40
Queens,AD 40,Raymond J. McGuire,158
Queens,AD 40,Scott M. Stringer,716
Queens,AD 40,Shaun Donovan,290
Queens,AD 40,WRITE-IN,50
Richmond,AD 61,Aaron S. Foldenauer,142
Richmond,AD 61,Andrew Yang,2304
Richmond,AD 61,Art Chang,120
Richmond,AD 61,Dianne Morales,610
Richmond,AD 61,Eric L. Adams,8172
Richmond,AD 61,Isaac Wright Jr.,80
Richmond,AD 61,Joycelyn Taylor,90
Richmond,AD 61,Kathryn A. Garcia,3412
Richmond,AD 61,Maya D. Wiley,3624
Richmond,AD 61,Paperboy Love Prince,98
Richmond,AD 61,Raymond J. McGuire,524
Richmond,AD 61,Scott M. Stringer,1298
Richmond,AD 61,Shaun Donovan,608
Richmond,AD 61,WRITE-IN,52
Richmond,AD 62,Aaron S. Foldenauer,34
Richmond,AD 62,Andrew Yang,1898
Richmond,AD 62,Art Chang,74
Richmond,AD 62,Dianne Morales,198
Richmond,AD 62,Eric L. Adams,1814
Richmond,AD 62,Isaac Wright Jr.,2
Richmond,AD 62,Joycelyn Taylor,32
Richmond,AD 62,Kathryn A. Garcia,2522
Richmond,AD 62,Maya D. Wiley,854
Richmond,AD 62,Paperboy Love Prince,40
Richmond,AD 62,Raymond J. McGuire,192
Richmond,AD 62,Scott M. Stringer,892
Richmond,AD 62,Shaun Donovan,394
Richmond,AD 62,WRITE-IN,78
Richmond,AD 63,Aaron S. Foldenauer,80
Richmond,AD 63,Andrew Yang,2758
Richmond,AD 63,Art Chang,108
Richmond,AD 63,Dianne Morales,312
Richmond,AD 63,Eric L. Adams,4144
Richmond,AD 63,Isaac Wright Jr.,26
Richmond,AD 63,Joycelyn Taylor,36
Richmond,AD 63,Kathryn A. Garcia,2652
Richmond,AD 63,Maya D. Wiley,1542
Richmond,AD 63,Paperboy Love Prince,62
Richmond,AD 63,Raymond J. McGuire,284
Richmond,AD 63,Scott M. Stringer,1224
Richmond,AD 63,Shaun Donovan,532
Richmond,AD 63,WRITE-IN,36
Richmond,AD 64,Aaron S. Foldenauer,50
Richmond,AD 64,Andrew Yang,1660
Richmond,AD 64,Art Chang,84
Richmond,AD 64,Dianne Morales,224
Richmond,AD 64,Eric L. Adams,1764
Richmond,AD 64,Isaac Wright Jr.,22
Richmond,AD 64,Joycelyn Taylor,10
Richmond,AD 64,Kathryn A. Garcia,1850
Richmond,AD 64,Maya D. Wiley,846
Richmond,AD 64,Paperboy Love Prince,36
Richmond,AD 64,Raymond J. McGuire,166
Richmond,AD 64,Scott M. Stringer,628
Richmond,AD 64,Shaun Donovan,340
Richmond,AD 64,WRITE-IN,48
